time_key,open,close,high,low,volume
2018-01-02,10.42,10.98,11.02,10.34,44146332.0
2018-01-03,11.61,11.55,12.14,11.36,154066661.0
2018-01-04,12.095,12.12,12.43,11.97,109502970.0
2018-01-05,12.19,11.88,12.22,11.66,63808946.0
2018-01-08,12.01,12.28,12.3,11.85,63346034.0
2018-01-09,12.0,11.82,12.02,11.71,62560940.0
2018-01-10,11.63,11.96,12.15,11.56,52561170.0
2018-01-11,12.07,12.14,12.19,11.9,38354916.0
2018-01-12,11.82,12.02,12.07,11.8,47149344.0
2018-01-16,12.05,11.91,12.2,11.8,42686623.0
2018-01-17,11.9,12.18,12.19,11.82,39020825.0
2018-01-18,12.18,12.47,12.68,12.15,62086151.0
2018-01-19,12.56,12.59,12.88,12.54,46800669.0
2018-01-22,12.61,12.65,12.74,12.37,34758615.0
2018-01-23,12.82,12.94,12.995,12.76,46417226.0
2018-01-24,13.02,12.71,13.05,12.6,41956439.0
2018-01-25,12.78,12.41,12.94,12.32,42966567.0
2018-01-26,12.7,12.95,12.95,12.62,44238971.0
2018-01-29,13.13,13.32,13.47,13.05,66645418.0
2018-01-30,13.12,12.87,13.27,12.69,91236383.0
2018-01-31,13.24,13.74,13.85,13.15,140977843.0
2018-02-01,13.62,13.25,13.84,13.21,67543333.0
2018-02-02,13.05,12.45,13.06,12.43,79432558.0
2018-02-05,12.05,11.57,12.18,10.93,116568862.0
2018-02-06,11.04,11.65,11.74,11.0,87123202.0
2018-02-07,11.7,11.6,11.9,11.53,55758364.0
2018-02-08,11.72,11.22,11.85,11.21,56471761.0
2018-02-09,11.54,11.31,11.57,10.63,85458235.0
2018-02-12,11.47,11.68,11.8,11.43,63160875.0
2018-02-13,11.6,11.78,11.82,11.53,33661383.0
2018-02-14,11.72,12.2,12.31,11.63,51756817.0
2018-02-15,12.4,12.19,12.625,12.07,59593761.0
2018-02-16,12.11,11.82,12.225,11.82,47332348.0
2018-02-20,11.72,12.02,12.19,11.71,47096492.0
2018-02-21,12.12,11.72,12.12,11.72,40195847.0
2018-02-22,11.82,11.84,11.995,11.63,37886263.0
2018-02-23,11.95,12.07,12.16,11.94,33317579.0
2018-02-26,12.14,12.42,12.43,12.05,42265208.0
2018-02-27,12.43,12.53,12.88,12.39,55975268.0
2018-02-28,12.66,12.11,12.73,12.1,43387460.0
2018-03-01,12.26,11.9,12.27,11.66,63207377.0
2018-03-02,11.67,11.81,11.93,11.43,58123518.0
